Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
A Real-time Fuzzy Interacting Multiple-Model Velocity Obstacle Avoidance Approach for Unmanned Aerial Vehicles,"Fethi Candan, Aykut Beke, Mahdi Mahfouf & Lyudmila Mihaylova ",2024,Journal of Intelligent & Robotic Systems,https://link.springer.com/article/10.1007/s10846-024-02075-6,springer,1,dynamic obstacle avoidance vehicles
A review of motion planning for redundant space manipulators,"Zhang, Z., Liu, X., Ning, M. et al.",2025,"Sci. China Technol. Sci. 68, 1310401",https://link.springer.com/article/10.1007/s11431-024-2841-y,springer,0,probabilistic safe motion planning
A review of rule-based collision avoidance technology for autonomous UAV,"Hu, J., Wang, T., Zhang, H. et al.",2023," Sci. China Technol. Sci. 66, 2481–2499",https://link.springer.com/article/10.1007/s11431-022-2264-5,springer,10,kinodynamic RRT autonomous vehicles
A review of the literature on fuzzy-logic approaches for collision-free path planning of manipulator robots,"Hentout, A., Maoudj, A. & Aouache, M.",2023,"Artif Intell Rev 56, 3369–3444",https://link.springer.com/article/10.1007/s10462-022-10257-7,springer,54,safe LQR RRT planning
A robust and optimal LQR controller design for Electric Power Steering system,Cristian Chitu; Jochen Lackner; Martin Horn; Helmut Waser; Markus Kohlböck,2011,Proceedings of the Joint INDS'11 & ISTET'11,https://ieeexplore.ieee.org/abstract/document/6024779,google scholar,24,safe LQR steering vehicles
A Rule-Defined Adaptive MPC Based Motion Planner for Autonomous Driving Applications,"Sathyamangalam Imran, M.I.I., Awasthi, S.S., Khayyat, M., Arrigoni, S., Braghin, F.",2024,16th International Symposium on Advanced Vehicle Control.,https://link.springer.com/chapter/10.1007/978-3-031-70392-8_77,springer,1,CBF QP autonomous driving
A Rule-Defined Adaptive MPC Based Motion Planner for Autonomous Driving Applications,"Sathyamangalam Imran, M.I.I., Awasthi, S.S., Khayyat, M., Arrigoni, S., Braghin, F.",2024,16th International Symposium on Advanced Vehicle Control. AVEC 2024. Lecture Notes in Mechanical Engineering.,https://link.springer.com/chapter/10.1007/978-3-031-70392-8_77,springer,1,time varying CBF planning
A TD-RRT* Based Real-Time Path Planning of a Nonholonomic Mobile Robot and Path Smoothening Technique Using Catmull-Rom Interpolation,Jyotish; Mei-Yung Chen,2022,2022 International Conference on System Science and Engineering (ICSSE),https://ieeexplore.ieee.org/document/9948258,IEEE,2,RRT replanning moving obstacles
A two-level dynamic obstacle avoidance algorithm for unmanned surface vehicles,"A. Lifei Song, B. Yiran Su, C. Zaopeng Dong, D. Wei Shen, E. Zuquan Xiang, F. Puxiu Mao",2018,Ocean Engineering Volume 170,https://doi.org/10.1016/j.oceaneng.2018.10.008,google scholar,94,dynamic obstacle avoidance vehicles
A wearable obstacle avoidance device for visually impaired individuals with cross-modal learning,"Yun Gao, Dan Wu, Jie Song, Xueyi Zhang, Bangbang Hou, Hengfa Liu, Junqi Liao & Liang Zhou",2025,"Nat Commun 16, 2857",https://link.springer.com/article/10.1038/s41467-025-58085-x,springer,1,dynamic obstacle avoidance vehicles
"Active front-steering control of a sport utility vehicle using a robust linear quadratic regulator method, with emphasis on the roll dynamics","Naser Elmi, Abdolreza Ohadi, and Behzad Samadi",2013,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",https://doi.org/10.1177/0954407013502319,google scholar,30,safe LQR steering vehicles
Active LQR Multi-Axle-Steering Method for Improving Maneuverability and Stability of Multi-Trailer Articulated Heavy Vehicles,"Zhao Wen Deng, Qi Xian Zhao, You Qun Zhao, Bao Hua Wang, Wei Gao & Xin Xin Kong ",2022,International Journal of Automotive Technology,https://link.springer.com/article/10.1007/s12239-022-0082-2,google scholar,19,safe LQR steering vehicles
Active steering control based on preview theory for articulated heavy vehicles,"Jie Tian, Qingkang Zeng, Peng Wang, Xiaoqing Wang",2021,PLoS ONE 16(5): e0252098,https://doi.org/10.1371/journal.pone.0252098,google scholar,30,safe LQR steering vehicles
AD*-Based Dynamically Feasible Replanning Technique for Anguilliform-Inspired Robot,"Ojha, P., Thakur, A.",2023,"J Intell Robot Syst 108, 53",https://link.springer.com/article/10.1007/s10846-023-01902-6,springer,0,RRT replanning moving obstacles
"Adaptive Cruise Control Euro NCAP validation
using CLF-CBF and Model-Free control law in
CarSim","Preto, Fernando Z., Mateus M. Brugnolli, and Bruno A. Angélico.",,,https://www.sba.org.br/cba2024/papers/paper_9935.pdf,google scholar,0,CBF gain parameter tuning
Adaptive Goal-Biased Bi-RRT for Online Path Planning of Robotic Manipulators,"Fu, L., Lin, X., Lou, Y.",2023,Intelligent Robotics and Applications. ICIRA 2023. Lecture Notes in Computer Science(),https://link.springer.com/chapter/10.1007/978-981-99-6483-3_5,springer,2,RRT replanning moving obstacles
Advances in the Theory of Control Barrier Functions: Addressing practical challenges in safe control synthesis for autonomous and robotic systems,"Kunal Garg, James Usevitch, Joseph Breeden, Mitchell Black, Devansh Agrawal, Hardik Parwana, Dimitra Panagou,",2024,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2024.100945,google scholar,35,control barrier function autonomous
"An academic recommender system on large citation data based on clustering, graph modeling and deep learning","Stergiopoulos, V., Vassilakopoulos, M., Tousidou, E. et al.",2024," Knowl Inf Syst 66, 4463–4496",https://link.springer.com/article/10.1007/s10115-024-02094-7,springer,4,CBF gain parameter tuning
An Improved Artificial Potential Field Method for Dynamic Obstacle Avoidance Control of Unmanned Aerial Vehicle with Motor Fault,Zhi-Jie Wu; Li-Ying Hao; Yibo Zhao,2024,2024 14th Asian Control Conference (ASCC),https://ieeexplore.ieee.org/document/10665592,IEEE,1,dynamic obstacle avoidance vehicles
An improved Rapidly-exploring Random Tree Approach for Robotic Dynamic Path Planning,Kun Wei; Yaojun Chu; Haiyun Gan,2021,2021 11th International Conference on Intelligent Control and Information Processing (ICICIP),https://ieeexplore.ieee.org/document/9642182,IEEE,0,probabilistic safe motion planning
An improved Rapidly-exploring Random Tree Approach for Robotic Dynamic Path Planning,Kun Wei; Yaojun Chu; Haiyun Gan,2021,2021 11th International Conference on Intelligent Control and Information Processing (ICICIP),https://ieeexplore.ieee.org/document/9642182,IEEE,0,RRT replanning moving obstacles
An Improved RRT* Path Planning Algorithm in Dynamic Environment,"Li, J., Wang, K., Chen, Z., Wang, J.",2022,"Communications in Computer and Information Science, vol 1713.",https://link.springer.com/chapter/10.1007/978-981-19-9195-0_25,springer,4,RRT replanning moving obstacles
An insect vision-inspired neuromorphic vision systems in low-light obstacle avoidance for intelligent vehicles,"Wang, H., Wang, S. & Qian, L",2024,Machine Vision and Applications,https://link.springer.com/article/10.1007/s00138-024-01582-8,springer,1,dynamic obstacle avoidance vehicles
An Obstacle Avoidance Algorithm for Unmanned Surface Vehicle Based on A Star and Velocity-Obstacle Algorithms,Hongzhou Yan; Qige Zhu; Yifan Zhang; Zhe Li; Xiaojia Du,2022,2022 IEEE 6th Information Technology and Mechatronics Engineering Conference (ITOEC),https://ieeexplore.ieee.org/document/9734642,IEEE,8,dynamic obstacle avoidance vehicles
An RRT-Based Path Planning Strategy in a Dynamic Environment,Yijing Li,2021,"2021 7th International Conference on Automation, Robotics and Applications (ICARA)",https://ieeexplore.ieee.org/document/9376472,IEEE,7,RRT replanning moving obstacles
Animal Welfare Aspects in Planning and Conducting Experiments on Rodent Models of Subarachnoid Hemorrhage,"Becker, K.",2023,"Cell Mol Neurobiol 43, 3965–3981",https://link.springer.com/article/10.1007/s10571-023-01418-5,springer,1,time varying CBF planning
Applications to Autonomous Vehicles in Traffic Networks,"Xiao, W., Cassandras, C.G., Belta, C.",2023,Synthesis Lectures on Computer Science.,https://link.springer.com/chapter/10.1007/978-3-031-27576-0_9,springer,0,CBF QP autonomous driving
Asymptotical RRT-Based Path Planning for Mobile Robots in Dynamic Environments,Zhuoyang Du; Shan Liu,2018,2018 37th Chinese Control Conference (CCC),https://ieeexplore.ieee.org/document/8482649,IEEE,8,RRT replanning moving obstacles
Autoencoder and Kernel Density Estimation Based Approach for Time Series Anomaly Detection,"Arzha, A., Korkhov, V.",2025,"ICCSA 2025 Workshops. ICCSA 2025. Lecture Notes in Computer Science, vol 15894.",https://link.springer.com/chapter/10.1007/978-3-031-97648-3_17,springer,0,CBF gain parameter tuning
Autonomous Docking for Maritime Autonomous Surface Ships Based on Dynamic Vector Field and Control Barrier Functions,Mingjun Luo; Lu Liu; Anqing Wang; Nan Gu; Haoliang Wang; Dan Wang,2024,2024 43rd Chinese Control Conference (CCC),https://ieeexplore.ieee.org/document/10662708,IEEE,0,control barrier function autonomous
"Autonomous ground vehicles: technological advancements, implementation challenges, and future directions","Patkar, V., Mehendale, N.",2025,Int J Intell Robot Appl,https://link.springer.com/article/10.1007/s41315-024-00418-y,springer,2,kinodynamic RRT autonomous vehicles
Autonomous Navigation of Quadruped Robots for Monitoring and Inspection of Civil Infrastructure,"Tandon, A., Stührenberg, J., Dragos, K., Smarsly, K.",2025,"Lecture Notes in Civil Engineering, vol 629.",https://link.springer.com/chapter/10.1007/978-3-031-87364-5_29,springer,1,kinodynamic RRT autonomous vehicles
Autonomous Racing with Multiple Vehicles using a Parallelized Optimization with Safety Guarantee using Control Barrier Functions,Suiyi He; Jun Zeng; Koushil Sreenath,2022,2022 International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/abstract/document/9811969,google scholar,40,control barrier function autonomous
Autonomous Vehicle Lane-Change Control Based on Model Predictive Control with Control Barrier Function,Xiaoya Chen; Xiangbin Liu; Min Zhang,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),https://ieeexplore.ieee.org/document/10606562,IEEE,1,control barrier function autonomous
Balanced Safety-Critical High-Gain Control for Uncertain Nonlinear Systems With Input Saturation,Peng Wang; Xiuhui Peng; Xiaoling Liang; Shuzhi Sam Ge,2024,IEEE Transactions on Automation Science and Engineering ( Volume: 22),https://ieeexplore.ieee.org/abstract/document/10815003,google scholar,0,CBF gain parameter tuning
Barrier function composite nonlinear feedback adaptive sliding mode control for time-delayed MIMO systems,"Mobayen, S. ",2025,"Nonlinear Dyn 113, 16837–16855",https://link.springer.com/article/10.1007/s11071-025-10980-0,springer,0,control barrier function autonomous
Barrier Lyapunov Function-based Backstepping Controller Design for Path Tracking of Autonomous Vehicles,"Hosseinnajad, A., Mohajer, N. & Nahavandi, S.",2024,"J Intell Robot Syst 110, 118",https://link.springer.com/article/10.1007/s10846-024-02152-w,springer,5,control barrier function autonomous
Barrier Lyapunov-Based Fuzzy Sliding Mode Control for Lateral Autonomous Vehicle Dynamics,"Jennan, N., Mellouli, E., Arjdal, E.",2025,"ICESST 2024. Sustainable Civil Infrastructures. Springer, Cham.",https://link.springer.com/chapter/10.1007/978-3-031-86705-7_42,springer,0,control barrier function autonomous
Bi-HS-RRT: an efficient sampling-based motion planning algorithm for unknown dynamic environments,"Liao, L., Xu, Q., Zhou, X. et al.",2024,"Complex Intell. Syst. 10, 7497–7512",https://link.springer.com/article/10.1007/s40747-024-01557-2,springer,0,RRT replanning moving obstacles
Bi-Risk-RRT Based Efficient Motion Planning for Autonomous Ground Vehicles,Han Ma; Fei Meng; Chengwei Ye; Jiankun Wang; Max Q.-H. Meng,2022,"IEEE Transactions on Intelligent Vehicles ( Volume: 7, Issue: 3, September 2022) ",https://ieeexplore.ieee.org/document/9718167,IEEE,30,kinodynamic RRT autonomous vehicles
"Boundary-RRT* Algorithm for Drone Collision
Avoidance and Interleaved Path Re-planning",Je-Kwan Park* and Tai-Myoung Chung**,2020,Journal of Information Processing Systems,https://koreascience.kr/article/JAKO202009651162953.pdf,google scholar,21,RRT replanning moving obstacles
BRMPNet: bidirectional recurrent motion planning networks for generic robotic platforms in smart manufacturing,"Feng, BH., Li, BY., Jiang, XT. et al.",2025,"Adv. Manuf. 13, 477–492",https://link.springer.com/article/10.1007/s40436-024-00529-6,springer,0,probabilistic safe motion planning
CBF-Based Motion Planning for Socially Responsible Robot Navigation Guaranteeing STL Specification*,Andrea Ruo; Lorenzo Sabattini; Valeria Villani,2024,2024 European Control Conference (ECC),https://ieeexplore.ieee.org/document/10591282,IEEE,2,time varying CBF planning
CBF-Based Motion Planning for Socially Responsible Robot Navigation Guaranteeing STL Specification*,Andrea Ruo; Lorenzo Sabattini; Valeria Villani,2024,2024 European Control Conference (ECC),https://ieeexplore.ieee.org/abstract/document/10591282,google scholar,2,time varying CBF planning
CBF-Based STL Motion Planning for Social Navigation in Crowded Environment,"Ruo, A., Sabattini, L., Villani, V.",2025,"Springer Proceedings in Advanced Robotics, vol 33.",https://link.springer.com/chapter/10.1007/978-3-031-76428-8_23,springer,0,time varying CBF planning
Characterizing drivers of change in intraoperative cerebral saturation using supervised machine learning,"Pries, P.J., Mutch, W.A.C. & Funk, D.J.",2025,"J Clin Monit Comput 39, 559–569",https://link.springer.com/article/10.1007/s10877-025-01265-3,springer,2,CBF gain parameter tuning
Collaborative control of trajectory tracking and braking stability of intelligent vehicles with a blowout tire,"Lu, Y., Han, Z., Zhang, J. et al.",2024," J Mech Sci Technol 38, 67–78",https://link.springer.com/article/10.1007/s12206-023-1206-y,springer,4,safe LQR steering vehicles
Collision Avoidance in Autonomous Vehicles Using the Control Lyapunov Function–Control Barrier Function–Quadratic Programming Approac,"Chen, Haochong; Zhang, Fengrui; Aksun-Guvenc, Bilin",2025,"Electronics; Basel Bd. 14, Ausg. 3, ",https://www.proquest.com/openview/226f30ef2090e04620d6437afe50c557/1?pq-origsite=gscholar&cbl=2032404,google scholar,1,CBF QP autonomous driving
COLREG-RRT: An RRT-Based COLREGS-Compliant Motion Planner for Surface Vehicle Navigation,Hao-Tien Lewis Chiang; Lydia Tapia,2018,"IEEE Robotics and Automation Letters ( Volume: 3, Issue: 3, July 2018) ",https://ieeexplore.ieee.org/document/8281087,IEEE,104,kinodynamic RRT autonomous vehicles
"Comprehensive Approach to Motion Planning for Self-Driving Vehicles: Trajectory Roll Out, Route Planning, and Safe Maneuver Execution","Adhikari, V.S., Arora, G., Koli, V.N., Dagur, A.",2024,Advances in Artificial-Business Analytics and Quantum Machine Learning.,https://link.springer.com/chapter/10.1007/978-981-97-2508-3_43,springer,1,probabilistic safe motion planning
Control and Motion Planning,"Berscheid, L., Kröger, T.",2025,Robotics Goes MOOC.,https://link.springer.com/chapter/10.1007/978-3-319-74095-9_3,springer,0,probabilistic safe motion planning
Control Barrier Function Based Model Predictive Control to Safety Obstacle-Avoidance of Autonomous Manned Mobile Robots,"Gao, Q., Feng, J., Zhang, G., Cao, W.",2025,"Lecture Notes in Electrical Engineering, vol 1341. Springer, Singapore.",https://link.springer.com/chapter/10.1007/978-981-96-2216-0_58,springer,0,control barrier function autonomous
Control Barrier Function Based Three-Channel Coupling Control of Air-Breathing Hypersonic Vehicle with AoA Constraint,"Huang, J., Liu, J., Guo, H., Fu, W.",2025,Proceedings of 4th 2024 International Conference on Autonomous Unmanned Systems (4th ICAUS 2024). ICAUS 2024,https://link.springer.com/chapter/10.1007/978-981-96-3568-9_27,springer,0,CBF QP autonomous driving
Control Barrier Function-Based Discrete-Time Adaptive Control for Uncertain Systems,"Xu, H., Shi, Z., Zhao, L.",2025,"ICGNC 2024. Lecture Notes in Electrical Engineering, vol 1341.",https://link.springer.com/chapter/10.1007/978-981-96-2216-0_27,springer,0,control barrier function autonomous
Control Barrier Functions for Stochastic Systems under Signal Temporal Logic Tasks,Arash Bahari Kordabad; Maria Charitidou; Dimos V. Dimarogonas; Sadegh Soudjani,2024,2024 European Control Conference (ECC),https://ieeexplore.ieee.org/document/10591078,IEEE,1,time varying CBF planning
Control Synthesis for Stability and Safety by Differential Complementarity Problem,Yinzhuang Yi; Shumon Koga; Bogdan Gavrea; Nikolay Atanasov,2022,IEEE Control Systems Letters ( Volume: 7) ,https://ieeexplore.ieee.org/abstract/document/9983798,google scholar,5,CBF gain parameter tuning
Controller design for an electric power steering system based on LQR techniques,"Cristian Chitu, Jochen Lackner, Martin Horn, Premchand Srikanth Pullagura, Helmut Waser, Markus Kohlböck",2013,The international journal for computation and mathematics in electrical and electronic engineering,https://www.emerald.com/insight/content/doi/10.1108/03321641311305737/full/html,google scholar,58,safe LQR steering vehicles
Cooperative collision avoidance and obstacle avoidance path planning for multiple unmanned underwater vehicles,Hongxia Zhang; Senlin Pu; Youjun Sun,2023,2023 35th Chinese Control and Decision Conference (CCDC),https://ieeexplore.ieee.org/document/10326829,IEEE,1,dynamic obstacle avoidance vehicles
Cooperative Control Framework for Human Driver and Active Rear Steering System to Advance Active Safety,Peng Hang; Xinbo Chen; Wei Wang,2020,"IEEE Transactions on Intelligent Vehicles ( Volume: 6, Issue: 3, September 2021)",https://ieeexplore.ieee.org/abstract/document/9259201,google scholar,47,safe LQR steering vehicles
Correct by construction design of autonomous vehicles through a barrier function method,Yuxiao Chen; Huei Peng; Jessy Grizzle,2017,2017 American Control Conference (ACC),https://ieeexplore.ieee.org/document/7963718,IEEE,3,control barrier function autonomous
"Deadlock-free, safe, and decentralized multi-robot navigation in social mini-games via discrete-time control barrier functions","Chandra, R., Zinage, V., Bakolas, E. et al.",2025,"Auton Robot 49, 12",https://link.springer.com/article/10.1007/s10514-025-10194-8,springer,1,time varying CBF planning
Decentralized iLQR for Cooperative Trajectory Planning of Connected Autonomous Vehicles via Dual Consensus ADMM,Zhenmin Huang; Shaojie Shen; Jun Ma,2023,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 24, Issue: 11, November 2023)",https://ieeexplore.ieee.org/document/10171831,IEEE,20,safe LQR steering vehicles
Decentralized multi-robot formation control in environments with non-convex and dynamic obstacles based on path planning algorithms,"Ruiz-Fernandez, L.E., Ruiz-Leon, J., Gomez-Gutierrez, D. et al.",2025,"Intel Serv Robotics 18, 215–232",https://link.springer.com/article/10.1007/s11370-024-00582-x,springer,1,RRT replanning moving obstacles
Design and Vehicle Implementation of Autonomous Lane Change Algorithm based on Probabilistic Prediction,Heungseok Chae; Yonghwan Jeong; Seonwook Kim; Hojun Lee; Jongcherl Park; Kyongsu Yi,2018,2018 21st International Conference on Intelligent Transportation Systems (ITSC),https://ieeexplore.ieee.org/document/8569778,IEEE,10,safe LQR steering vehicles
Differentiable Control Barrier Functions for Vision-based End-to-End Autonomous Driving,"Wei Xiao, Tsun-Hsuan Wang, Makram Chahine, Alexander Amini, Ramin Hasani, Daniela Rus",2022,arXiv preprint arXiv:2203.02401,https://arxiv.org/abs/2203.02401,google scholar,22,control barrier function autonomous
Differentiable Optimization Based Time-Varying Control Barrier Functions for Dynamic Obstacle Avoidance,"Bolun Dai, Rooholla Khorrambakht, Prashanth Krishnamurthy, Farshad Khorrami",2024,arXiv preprint arXiv:2309.17226.,https://doi.org/10.48550/arXiv.2309.17226,google scholar,4,time varying CBF planning
Dispertio: Optimal Sampling For Safe Deterministic Motion Planning,Luigi Palmieri; Leonard Bruns; Michael Meurer; Kai O. Arras,2020,"IEEE Robotics and Automation Letters ( Volume: 5, Issue: 2, April 2020) ",https://ieeexplore.ieee.org/document/8928532,IEEE,17,probabilistic safe motion planning
Disturbance Observer-Enhanced Adaptive CBFs for Safety-Critical Motion Control of Autonomous Vehicles,Yifan Cheng; Yuxiang Zhang; Yuyao Jiang; Hongqing Chu; Bingzhao Gao; Hong Chen,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),https://ieeexplore.ieee.org/abstract/document/10920261,google scholar,0,CBF QP autonomous driving
DP and QP Based Decision-making and Planning for Autonomous Vehicle,Zhicheng Zhang,2024,arXiv preprint arXiv:2411.06751,https://arxiv.org/abs/2411.06751,google scholar,0,CBF QP autonomous driving
Dynamic Control Authority Allocation in Indirect Shared Control for Steering Assistance,Yutao Chen; Hongliang Zhang; Haocong Chen; Jie Huang; Bin Wang; Zixiang Xiong,2025,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 26, Issue: 3, March 2025) ",https://ieeexplore.ieee.org/document/10873363,IEEE,0,CBF QP autonomous driving
Dynamic Informed Bias RRT*-Connect: Improving Heuristic Guidance by Dynamic Informed Bias Using Hybrid Dual Trees Search,"Li, H., Kang, Y. & Han, H.",2024,"J Intell Robot Syst 110, 106",https://link.springer.com/article/10.1007/s10846-024-02144-w,springer,5,kinodynamic RRT autonomous vehicles
Dynamic obstacle avoidance," Clark R. Karr, Michael A. Craft, Jaime E. Cisneros ",1995,"Proceedings Volume 10280, Distributed Interactive Simulation Systems for Simulation and Training in the Aerospace Environment",https://doi.org/10.1117/12.204222,google scholar,18,dynamic obstacle avoidance vehicles
Dynamic Obstacle Avoidance for Submarine Cable Laying AUVs Based on Model Prediction,Xiaoqin Huang; Xu Wang,2025,2025 8th International Conference on Advanced Algorithms and Control Engineering (ICAACE),https://ieeexplore.ieee.org/document/11019063,IEEE,0,dynamic obstacle avoidance vehicles
Dynamic obstacle avoidance for unmanned underwater vehicles based on an improved velocity obstacle method,"W Zhang, S Wei, Y Teng, J Zhang, X Wang, Z Yan",2017,Sensors 17.12,https://www.mdpi.com/1424-8220/17/12/2742,google scholar,75,dynamic obstacle avoidance vehicles
Dynamic Obstacle Avoidance Method for Road Vehicles Via Improved Artificial Potential Field,Mingyang Xu; Chen Xu; Gengxin Qi; Ming Yue; Xudong Zhao,2023,2023 7th CAA International Conference on Vehicular Control and Intelligence (CVCI),https://ieeexplore.ieee.org/document/10397262,IEEE,2,dynamic obstacle avoidance vehicles
